Rank,Variable,Mean absolute SHAP,HSLS variable description,Feature dimension
18,S2COST4YPRV,0.04383695435140065,What is your best estimate of the cost of one year's tuition and required fees at a typical private 4-year college ? (Please include the cost of courses and required fees such as student activity fees and student health fees. Do not include optional expenses such as room and board.) $ per year Administered To: All respondents. Sparse values recoded to similar values on the public use file. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 100000.00 13547.30 21128.04,Demographic/SES controls
19,P1SPORTS,0.043602605162423355,"During the last 12 months, has [your 9th-grader] participated in any of the following activities outside of school? (Check all that apply.) Music, dance, art, or theater Organized sports supervised by an adult Religious youth group or religious instruction Scouting or another group or club activity Academic instruction outside of school such as from a Saturday Academy, learning center, personal tutor or summer school program A math or science camp Another camp None of these",Behavioral/psychological factors
20,S2FAMREC,0.043108842379141435,How important to you [will/would] each of the following characteristics be when choosing a school or college to attend after high school? Recommended by family or friends 1=Very important 2=Somewhat important 3=Not at all important,Demographic/SES controls
21,S2SENJOYS,0.042712339171153045,Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... you really enjoy science? 1=Yes 0=No,Career interests and aspirations
22,S2SATNUM,0.04189668056530855,"How many times, if any, have you taken the following tests? SAT or ACT 0=Never 1=Once 2=Twice 3=3 or more times 4=You don't know what this is Administered To: All respondents.",Academic performance/preparation
23,S1PLAN,0.041587073389884155,"An ""education plan"" or a ""career plan"" is a series of activities and courses that you will need to complete in order to get into college or be successful in your future career. Have you put together... a combined education and career plan an education plan only a career plan only or none of these?",Career interests and aspirations
24,S2FRFTJOB,0.03990906793860891,How many of your close friends... plan to have a full-time job instead of continuing their education? 0=None of them 1=Less than half 2=About half 3=More than half 4=All of them 5=Don't know Administered To: All respondents.,Demographic/SES controls
25,S2FRCLGEXAM,0.03861297231341815,"How many of your close friends... have taken the PSAT, SAT, PLAN or ACT? 0=None of them 1=Less than half 2=About half 3=More than half 4=All of them 5=Don't know Administered To: All respondents.",Demographic/SES controls
26,X3THILANG,0.038074747990790254,"Highest Foreign Language course, which is the first two digits of the course SCED code: 06.",Academic performance/preparation
27,S1FYBA,0.03766906888040358,What do you plan to do during your first year after high school? (Check all that apply.) Enroll in an Associate's degree program in a two-year community college or technical institute Enroll in a Bachelor's degree program in a college or university Obtain a license or certificate in a career field Attend a registered apprenticeship program Join the armed services Get a job Start a family Travel Do volunteer or missionary work Not sure what you want to do,Career interests and aspirations
28,P1EDUASPIRE,0.03656265546145699,"If there were no barriers, how far in school would you want [your 9th-grader] to go? Less than high school High school diploma or GED Start but not complete an Associate's degree Complete an Associate's degree Start but not complete a Bachelor's degree Complete a Bachelor's degree Start but not complete a Master's degree Complete a Master's degree Start but not complete a Ph.D., M.D., law degree, or other high level professional degree Complete a Ph.D., M.D., law degree, or other high level professional degree",Demographic/SES controls
29,S2MUSEJOB,0.035486124401244094,How much do you agree or disagree with the following statements about math? Math is useful for a future career. 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree Administered To: All respondents Crossround Note: This variable is a repeat of the BY variable S1MUSEJOB.,Career interests and aspirations
30,S1SUNDERST,0.03496748848017494,"When you are working on a science assignment, how often do you think you really understand the assignment? Never Rarely Sometimes Often",Skills and self-efficacy
31,S1PAYOFF,0.034649863279921894,How much do you agree or disagree with the following statements? Studying in school rarely pays off later with good jobs Strongly agree Agree Disagree Strongly disagree,Academic performance/preparation
32,X2TXMPROF4,0.03374894378654376,"The math proficiency probability scores are criterion-referenced and are based on clusters of items that mark seven levels on the mathematics scale developed in the HSLS:09 first follow-up. The levels are hierarchical in the sense that mastery of a higher level typically implies proficiency at the lower levels. The HSLS:09 first follow-up proficiency probabilities were computed using IRT-estimated item parameters. Each proficiency probability represents the probability that a student would pass a given proficiency level. Clusters of four items were identified that marked mathematics level 4: systems of equations. Students able to answer questions such as these have an understanding of systems of linear equations and can solve such systems algebraically and graphically and characterize the lines (parallel, intersecting, collinear) represented by a system of linear equations. See Chapter 2 of the HSLS:09 F1 Data File Documentation (NCES 2014-361) for more information on the derivation of the math proficiency probability scores. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -8.0000 1.0000 -0.6990 2.7640",Academic performance/preparation
33,S2OHOMEWRK,0.0332246734633763,"During a typical school week [during the spring term of 2012/when you were last enrolled in high school], how many hours [do/did] you spend... working on homework and studying for the rest of your classes? 0=No time 1=Less than 1/2 hour 2=1/2 to 1 hour 3=1 to 2 hours 4=2 to 3 hours 5=4 to 6 hours 6=7 to 9 hours 7=More than 9 hours Administered To: All respondents",Behavioral/psychological factors
34,X1RACE,0.03321547356813314,"X1RACE characterizes the sample member's race/ethnicity by summarizing the following six dichotomous race/ethnicity composites: X1HISPANIC, X1WHITE, X1BLACK, X1ASIAN, X1PACISLE, and X1AMINDIAN. The dichotomous race/ethnicity composites are based on data from the student questionnaire, if available; if not available from the student questionnaire, they are based on, in order of preference, data from the school-provided sampling roster or data from the parent questionnaire. X1RACE is derived from the six dichotomous race/ethnicity variables listed above (though the imputed values of X1WHITE, X1BLACK, X1ASIAN, X1PACISLE, and X1AMINDIAN are not stored on the data file). If any of these input variables are imputed, then the imputation flag for X1RACE (X1RACE _IM) is set to 1.",Demographic/SES controls
35,S1EDUEXPECT,0.032424134303930645,"As things stand now, how far in school do you think you will get? Less than high school High school graduation or GED Start but not complete an Associate's degree from a community college or technical institute Complete an Associate's degree from a community college or technical institute Start but not complete a Bachelor's degree Complete a Bachelor's degree Start but not complete a Master's degree or equivalent Complete a Master's degree or equivalent Start but not complete a Ph.D., M.D., law degree, or other high level professional degree Complete a Ph.D., M.D., law degree, or other high level professional degree Don't know",Academic performance/preparation
36,S2SONTIME,0.03233148116714981,How often [do/did] you do these things in [science course title]? You [turn/turned] in your assignments and projects on time. 1=Never 2=Less than half of the time 3=Half of the time 4=More than half of the time 5=Always,Behavioral/psychological factors
37,S1ABILITYBA,0.03179662105729624,"Whatever your plans, do you think you have the ability to complete a Bachelor's degree? Definitely Probably Probably not Definitely not",Academic performance/preparation
38,S2ANYAP,0.030796199740667562,Have you taken any Advanced Placement (AP) courses? [Include any courses you are taking now.] 1=Yes 2=No 3=You don't know what an AP course is Administered To: All respondents.,Academic performance/preparation
39,S2JOBPLC,0.030778494035716423,How important to you [will/would] each of the following characteristics be when choosing a school or college to attend after high school? A good record of placing graduates in jobs 1=Very important 2=Somewhat important 3=Not at all important,Career interests and aspirations
40,P1VOLUNTEER,0.030496693845808224,"Since the beginning of this school year (2009-2010), have you or other adults in your household... served as a volunteer in [your 9th-grader]'s classroom or elsewhere in the school? Yes No",Academic performance/preparation
41,S1FAVSUBJ,0.03010280386633658,"Not including lunch or study periods, what is your favorite school subject? English Foreign Language Science Art Music Mathematics Physical Education or Gym Religion Health Education Computer Education or Computer Science Social Studies, History, Government, or Civics Career preparation class such as health professions, business, or culinary arts Other",Career interests and aspirations
42,X3THIMATH,0.029981341136282993,"Highest Mathematics course, which is the first two digits of the course SCED code: 02.",Academic performance/preparation
43,S2ALG1GRADE,0.029809521807158967,What was your final grade in Algebra I? 1=A (between 90-100) 2=B (between 80-89) 3=C (between 70-79) 4=D (between 60-69) 5=Below D (anything less than 60) 6=Your class was not graded 7=You haven't completed the course yet Administered To: Respondents who took Algebra I.,Academic performance/preparation
44,S2MENJOYS,0.0297894144663322,Why [are/were] you taking [math course title] ? Would you say you [are/were] taking it because... you really enjoy math? 1=Yes 0=No,Academic performance/preparation
45,S2STUDYMORE,0.029204195927679824,Do you think you would [earn/have earned] higher grades if you [had] spent more time studying? 1=Yes 0=No Administered To: All respondents,Academic performance/preparation
46,S2MCLGSUCC,0.028869332621066265,Why [are/were] you taking [math course title] ? Would you say you [are/were] taking it because... you will need it to succeed in college? 1=Yes 0=No,Academic performance/preparation
