Rank,Variable,Mean absolute SHAP,HSLS variable description,Feature dimension
11,X3THIBIO,0.0662032460051288,"Highest Biology course, which is the first two digits of the course SCED code: 03.",Academic performance/preparation
12,P1ARTS,0.059012969308897184,"During the last 12 months, has [your 9th-grader] participated in any of the following activities outside of school? (Check all that apply.) Music, dance, art, or theater Organized sports supervised by an adult Religious youth group or religious instruction Scouting or another group or club activity Academic instruction outside of school such as from a Saturday Academy, learning center, personal tutor or summer school program A math or science camp Another camp None of these",Behavioral/psychological factors
13,S2CLUBTIME,0.053501274102512576,Which of the following are reasons you [do not/did not] spend more time studying? You [have/had] organized activities such as clubs or sports that [take/took] too much time. 1=Yes 0=No Administered To: Respondents who thought they could earn better grades by spending more time studying.,Behavioral/psychological factors
14,S1MPERSON1,0.047141435068726346,How much do you agree or disagree with the following statements? You see yourself as a math person Strongly agree Agree Disagree Strongly disagree,Skills and self-efficacy
15,S2HSJOBEVER,0.045417503207948844,"[At any time since starting 9th grade, have you worked/At any time when you were enrolled in high school, did you work] for pay during the school year? Do not count work around the house. 1=Yes 0=No",Demographic/SES controls
16,X3TNEWBASIC,0.04494761563038134,"The new basics variable (X3TNEWBASIC) and similar composites (X3TCRSES1-5) are based on credit counts without regard to the level of courses completed (except for the condition that at least two credits in a single foreign language must be earned). Only credits accrued in 9th through 12th grade (or ungraded) are included. For a cross-subject coursetaking composite that takes into account the level of courses completed, see academic track/concentrator (X3TACADTRCK). Values indicate whether the sample member is on: (1) a college-bound core curriculum that includes at least 4 English credits, 3 math credits, 3 science credits, 3 social studies credits, .5 computer science credits, and 2 credits in a particular foreign language; (2) a core curriculum that includes at least 4 English credits, 3 math credits, 3 science credits, 3 social studies credits, and .5 computer science credits; (3) a college bound core curriculum without computer sciences that includes at least 4 English credits, 3 math credits, 3 science credits, 3 social studies credits, and 2 credits in a particular foreign language; (4) a core curriculum without computer sciences track that includes at least 4 English credits, 3 math credits, 3 science credits, and 3 social studies credits; (5) a minimal core curriculum that includes at least 4 English credits, 2 math credits, 2 science credits, and 3 social studies credits; or (6) all other patterns.",Academic performance/preparation
17,S2PSATNUM,0.044481029147651514,"How many times, if any, have you taken the following tests? PSAT or PLAN 0=Never 1=Once 2=Twice 3=3 or more times 4=You don't know what this is Administered To: All respondents.",Academic performance/preparation
18,S2COST4YPRV,0.04383695435140065,What is your best estimate of the cost of one year's tuition and required fees at a typical private 4-year college ? (Please include the cost of courses and required fees such as student activity fees and student health fees. Do not include optional expenses such as room and board.) $ per year Administered To: All respondents. Sparse values recoded to similar values on the public use file. Mean Std Deviation Category Min Max Unweighted Unweighted ------------------- ------------------- ------------------- ------------------- ------------------- Continuous -9.00 100000.00 13547.30 21128.04,Demographic/SES controls
19,P1SPORTS,0.043602605162423355,"During the last 12 months, has [your 9th-grader] participated in any of the following activities outside of school? (Check all that apply.) Music, dance, art, or theater Organized sports supervised by an adult Religious youth group or religious instruction Scouting or another group or club activity Academic instruction outside of school such as from a Saturday Academy, learning center, personal tutor or summer school program A math or science camp Another camp None of these",Behavioral/psychological factors
20,S2FAMREC,0.043108842379141435,How important to you [will/would] each of the following characteristics be when choosing a school or college to attend after high school? Recommended by family or friends 1=Very important 2=Somewhat important 3=Not at all important,Demographic/SES controls
21,S2SENJOYS,0.042712339171153045,Why [are/were] you taking [science course title] ? Would you say you [are/were] taking it because... you really enjoy science? 1=Yes 0=No,Career interests and aspirations
22,S2SATNUM,0.04189668056530855,"How many times, if any, have you taken the following tests? SAT or ACT 0=Never 1=Once 2=Twice 3=3 or more times 4=You don't know what this is Administered To: All respondents.",Academic performance/preparation
23,S1PLAN,0.041587073389884155,"An ""education plan"" or a ""career plan"" is a series of activities and courses that you will need to complete in order to get into college or be successful in your future career. Have you put together... a combined education and career plan an education plan only a career plan only or none of these?",Career interests and aspirations
24,S2FRFTJOB,0.03990906793860891,How many of your close friends... plan to have a full-time job instead of continuing their education? 0=None of them 1=Less than half 2=About half 3=More than half 4=All of them 5=Don't know Administered To: All respondents.,Demographic/SES controls
25,S2FRCLGEXAM,0.03861297231341815,"How many of your close friends... have taken the PSAT, SAT, PLAN or ACT? 0=None of them 1=Less than half 2=About half 3=More than half 4=All of them 5=Don't know Administered To: All respondents.",Demographic/SES controls
26,X3THILANG,0.038074747990790254,"Highest Foreign Language course, which is the first two digits of the course SCED code: 06.",Academic performance/preparation
27,S1FYBA,0.03766906888040358,What do you plan to do during your first year after high school? (Check all that apply.) Enroll in an Associate's degree program in a two-year community college or technical institute Enroll in a Bachelor's degree program in a college or university Obtain a license or certificate in a career field Attend a registered apprenticeship program Join the armed services Get a job Start a family Travel Do volunteer or missionary work Not sure what you want to do,Career interests and aspirations
28,P1EDUASPIRE,0.03656265546145699,"If there were no barriers, how far in school would you want [your 9th-grader] to go? Less than high school High school diploma or GED Start but not complete an Associate's degree Complete an Associate's degree Start but not complete a Bachelor's degree Complete a Bachelor's degree Start but not complete a Master's degree Complete a Master's degree Start but not complete a Ph.D., M.D., law degree, or other high level professional degree Complete a Ph.D., M.D., law degree, or other high level professional degree",Demographic/SES controls
29,S2MUSEJOB,0.035486124401244094,How much do you agree or disagree with the following statements about math? Math is useful for a future career. 1=Strongly agree 2=Agree 3=Disagree 4=Strongly disagree Administered To: All respondents Crossround Note: This variable is a repeat of the BY variable S1MUSEJOB.,Career interests and aspirations
30,S1SUNDERST,0.03496748848017494,"When you are working on a science assignment, how often do you think you really understand the assignment? Never Rarely Sometimes Often",Skills and self-efficacy
